Date,NFLX,AAPL,MSFT,GOOG
4/1/2021,539.419983,120.891739,236.118607,106.887497
4/5/2021,540.669983,123.742058,242.665817,111.277496
4/6/2021,544.530029,124.04673,241.486923,111.237503
4/7/2021,546.98999,125.707764,243.474457,112.484001
4/8/2021,554.580017,128.125595,246.738312,113.272003
4/9/2021,555.309998,130.720337,249.271484,114.293999
4/12/2021,552.780029,128.99054,249.329926,112.739502
4/13/2021,553.72998,132.125824,251.843582,113.363503
4/14/2021,540.02002,129.766968,249.018158,112.741997
4/15/2021,549.219971,132.194626,252.827621,114.833
4/16/2021,546.539978,131.860458,254.035721,114.888
4/19/2021,554.440002,132.528824,252.087173,115.120003
4/20/2021,549.570007,130.828506,251.619507,114.681503
4/21/2021,508.899994,131.211792,253.879852,114.664497
4/22/2021,508.779999,129.678513,250.557541,113.396004
4/23/2021,505.549988,132.017731,254.435211,115.764999
4/26/2021,510.299988,132.410858,254.82489,116.336998
4/27/2021,505.549988,132.086502,255.234131,115.356003
4/28/2021,506.519989,131.290421,248.014648,118.995499
4/29/2021,509,131.192154,246.017365,121.494499
4/30/2021,513.469971,129.206741,245.695847,120.505997
5/3/2021,509.109985,130.268234,245.384064,119.758499
5/4/2021,503.179993,125.65863,241.418701,117.712502
5/5/2021,496.079987,125.904327,240.13266,117.836998
